n,p,density,reciprocity,seeds,rounds_per_seed,median_realized_compression,p10_realized_compression,median_worst_saving,p10_worst_saving,mean_excluded_latency_rounds,p95_excluded_latency_rounds,abort_rate,exclusion_round_fraction,unsettled_fraction
5,0.8,0.6,0.8,200,10,0.8143,0.7540,0.1554,0.0000,1.9120,4.0000,0.3675,0.4814,0.1277
5,0.8,0.7,0.8,200,10,0.8322,0.7826,0.1999,0.0000,1.8746,4.0000,0.3760,0.4840,0.1194
5,0.8,0.8,0.8,200,10,0.8357,0.7915,0.2393,0.0000,1.8544,4.0000,0.3680,0.4905,0.1143
5,0.8,0.9,0.8,200,10,0.8451,0.7989,0.3170,0.0617,1.8059,4.0000,0.3565,0.4771,0.0994
5,0.8,1,0.8,200,10,0.8485,0.8086,0.3273,0.1344,1.8456,4.0000,0.3550,0.4605,0.0981
10,1,0.5,0,200,10,0.5693,0.5258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,0.1,200,10,0.6199,0.5810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,0.2,200,10,0.6549,0.6220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,0.3,200,10,0.6985,0.6593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,0.4,200,10,0.7275,0.6924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,0.5,200,10,0.7555,0.7267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,0.6,200,10,0.7754,0.7551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,0.7,200,10,0.7965,0.7744,0.0713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,0.8,200,10,0.8165,0.7953,0.1403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,0.9,200,10,0.8320,0.8106,0.2229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.5,1,200,10,0.8493,0.8322,0.2806,0.1470,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.1,0.8,200,10,0.6778,0.6266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.2,0.8,200,10,0.7370,0.6977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.3,0.8,200,10,0.7693,0.7374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.4,0.8,200,10,0.7985,0.7714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.6,0.8,200,10,0.8298,0.8115,0.2296,0.0597,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.7,0.8,200,10,0.8449,0.8245,0.2954,0.1744,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.8,0.8,200,10,0.8538,0.8390,0.3354,0.2186,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.9,0.8,200,10,0.8608,0.8457,0.3787,0.2659,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,1,0.8,200,10,0.8687,0.8529,0.4081,0.3199,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.97,0.5,0,200,10,0.5908,0.5377,0.0000,0.0000,1.1018,2.0000,0.0645,0.2052,0.0109
10,0.97,0.5,0.1,200,10,0.6321,0.5860,0.0000,0.0000,1.1157,2.0000,0.0530,0.1990,0.0085
10,0.97,0.5,0.2,200,10,0.6721,0.6320,0.0000,0.0000,1.1283,2.0000,0.0660,0.2152,0.0127
10,0.97,0.5,0.3,200,10,0.7084,0.6679,0.0000,0.0000,1.1458,2.0000,0.0575,0.2122,0.0129
10,0.97,0.5,0.4,200,10,0.7374,0.7008,0.0000,0.0000,1.1160,2.0000,0.0605,0.2038,0.0075
10,0.97,0.5,0.5,200,10,0.7597,0.7311,0.0000,0.0000,1.1018,2.0000,0.0630,0.2012,0.0121
10,0.97,0.5,0.6,200,10,0.7853,0.7585,0.0037,0.0000,1.0782,2.0000,0.0655,0.2210,0.0123
10,0.97,0.5,0.7,200,10,0.8061,0.7816,0.0966,0.0000,1.0888,2.0000,0.0640,0.2110,0.0123
10,0.97,0.5,0.8,200,10,0.8221,0.7963,0.1539,0.0000,1.1225,2.0000,0.0680,0.2178,0.0137
10,0.97,0.5,0.9,200,10,0.8403,0.8200,0.2262,0.0000,1.1035,2.0000,0.0535,0.2171,0.0129
10,0.97,0.5,1,200,10,0.8591,0.8367,0.2813,0.1510,1.0814,2.0000,0.0585,0.2241,0.0099
10,0.97,0.1,0.8,200,10,0.6825,0.6267,0.0000,0.0000,1.0930,2.0000,0.0324,0.1510,0.0101
10,0.97,0.2,0.8,200,10,0.7443,0.6948,0.0000,0.0000,1.1055,2.0000,0.0525,0.1926,0.0110
10,0.97,0.3,0.8,200,10,0.7781,0.7459,0.0000,0.0000,1.1265,2.0000,0.0575,0.2196,0.0134
10,0.97,0.4,0.8,200,10,0.8051,0.7804,0.0127,0.0000,1.0836,2.0000,0.0595,0.2089,0.0091
10,0.97,0.6,0.8,200,10,0.8381,0.8180,0.2406,0.0692,1.0841,2.0000,0.0585,0.2135,0.0119
10,0.97,0.7,0.8,200,10,0.8503,0.8311,0.3010,0.1486,1.0968,2.0000,0.0665,0.2207,0.0113
10,0.97,0.8,0.8,200,10,0.8596,0.8438,0.3365,0.2036,1.1150,2.0000,0.0625,0.2213,0.0110
10,0.97,0.9,0.8,200,10,0.8678,0.8522,0.3948,0.2864,1.0901,2.0000,0.0575,0.1952,0.0127
10,0.97,1,0.8,200,10,0.8743,0.8585,0.4144,0.3120,1.1058,2.0000,0.0600,0.2128,0.0150
10,0.95,0.5,0,200,10,0.6056,0.5541,0.0000,0.0000,1.2302,2.0000,0.1405,0.2909,0.0267
10,0.95,0.5,0.1,200,10,0.6524,0.6013,0.0000,0.0000,1.2740,2.0000,0.1525,0.3133,0.0274
